Wire,Diam,Color,Type,Code_no,Length,Connector_1,Port_1,Term_1,Seal_1,Wire_connection,Term_2,Seal_2,Connector_2,Port_2,Variant,Bundle,Loc_1,Loc_2,
1113.14,1.5,RD,litzed,761980,9082+L2+L1,6E,1,1683454,,6E:1 to 107F_plug:8,1439887,1258969,107F_plug,8,BR15 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1117.1,1.5,RD,litzed,761980,6047+L1+L2,D453.A,10,1784460,1258969,D453.A:10 to 6CD:32,1792409,,6CD,32,DH09 DH101 DH139 DH40 DH41,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1119.1,4.0,RD,litzed,364973,9152+L1+L2,111F_plug,4,1391478,1847701,111F_plug:4 to 6B:1,1840828,,6B,1,DH18,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1380.14,1.0,RD,litzed,761974,1432+L1,6CD,25,1792408,,6CD:25 to P071.P:5,1745814,1623427,P071.P,5,DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1380.17,1.0,RD,litzed,761974,6355+L2,P031.D,15,1745814,1623427,P031.D:15 to P071.P:4,1745814,1623427,P071.P,4,DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1381.3,1.0,RD,litzed,761974,1502+L1,6CD,5,1792408,,6CD:5 to P071.T:16,1745814,1623427,P071.T,16,DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1381.14,1.0,RD,litzed,761974,6385+L2,D453.A,5,1784459,1258968,D453.A:5 to P071.T:5,1745814,1623427,P071.T,5,DH09 DH101 DH139 DH40 DH41,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1381.19,1.0,RD,litzed,761974,5385,P071.T,4,1745814,1623427,P071.T:4 to 116F_socket:16,1784459,1258968,116F_socket,16,DH09 DH132 DH25 DH98,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1381.27,1.0,RD,litzed,761974,7220+L2,P097,5,1745814,1623427,P097:5 to P071.T:14,1745814,1623427,P071.T,14,DH102,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437653 2437655 2437657 2437659 2437661 2437663 2437665 2437667 2437669 2437671 2437673 2437675 2437677 2437679 2437781 2437782 2437783 2437786,?,?,
1390.1,1.5,RD,R4,761980,9112+L1+L2,108F_plug,6,1816055,2110833,108F_plug:6 to 6E:10,1683454,,6E,10,BR15 DH150 DH18 DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1404,1.5,RD,litzed,761980,1432+L1,6CD,28,1792409,,6CD:28 to P071.P:1,1816054,2110833,P071.P,1,DH107,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1404.9,1.5,RD,litzed,761980,9150+L2,P071.P,9,1816054,2110833,P071.P:9 to A088:4,1442376,1442377,A088,4,DH107,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1700.1,1.0,RD,litzed,761974,5047+L1,6CD,7,1792408,,6CD:7 to 116F_socket:15,1784459,1258968,116F_socket,15,DH09 DH132 DH25 DH98,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
