Name,Part_no,,Passive,Instruction,Variant,Bundle,Description,Lokation,,,,,,,,,,,,,,,,,,,,
107F_plug,1808627,,,,BR15/DH60/DH61/DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,HDSC 16p Key1
108F_plug,1806214,,,,BR15/DH150/DH18/DH61/DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,HDSC 8p
111F_plug,1847704,,,,BR15/DH18/DH61/DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,HDSCs 4p power
116F_socket,1808626,,,,DH09/DH11/DH114/DH119/DH12/DH13/DH132/DH165/DH25/DH76/DH90/DH91/DH92/DH98/DQ06/DQ19,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,HDSC 16p Key1
119F_socket,1808626,,,,DH07/DH08/DH20/DH95,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,HDSC 16p Key1
158F_plug,1745605,,,,DH30/DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,HDSC_4p
344C(2),2262691,,2109507 2109507,,DH128/DH129/DH130/DH151/DH152/DH153/DH154/DH155/DH156/DH157/DH158/DH159/DH160/DH161/DH162/DH163,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,Fakra Green Male
5CD,1818791,,,,BR15/DD03/DD04/DD05/DD06/DD09/DD16/DD18/DD30/DH00/DH107/DH148/DH18/DH28/DH30/DH61/DH62/DH66/DH82/DH84/DH85/DH90/DQ43/DX10/DX14/DX15/DX34,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,MCP 21p
6B,1874083,,,,DH18/DX10,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,MCP 2p
6CD,1872698,,,,BM01/BM02/BM04/BM06/BM07/BM09/BR15/DD05/DD06/DD30/DH01/DH02/DH07/DH08/DH09/DH10/DH104/DH12/DH126/DH132/DH134/DH135/DH142/DH143/DH144/DH147/DH167/DH20/DH25/DH26/DH27/DH28/DH35/DH36/DH40/DH41/DH60/DH61/DH62/DH66/DH81/DH84/DH85/DH86/DH87/DH90/DH91/DH92/DH95/DH98/DH99/DJ00/DJ01/DJ20/DQ00/DQ03/DQ06/DQ21/DQ23/DQ25/DQ27/DQ43,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,MCP 36p
6E,1874099,,,,DD00/DD30/DH150/DH61/DH62/DQ03/DX10,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,MCP 12p
A088,1442370,,1442372,,DH107,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,connector tail lift
C361,1454339,,,,BR02/DH35/DH36/DH37,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,side marker left 2nd
C362,1454339,,,,DH35/DH36/DH37,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,side marker right 2nd
D453.A,1982868,,,,DH09/DH101/DH139/DH40/DH41,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,,,,,,,,,,,,,,,,,,,,,,ECAS-5
